# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-09-07 16:24:30.042486
# Surface: AMARILLO
# Sensor under test: DELANTERO
# Number of points: 8
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AMARILLO,DELANTERO,4,39,1,4435,2186,1540,445
AMARILLO,DELANTERO,4,40,1,4440,2188,1542,446
AMARILLO,DELANTERO,4,41,1,4448,2191,1543,446
AMARILLO,DELANTERO,4,42,1,4368,2159,1517,440
AMARILLO,DELANTERO,4,43,1,4347,2152,1508,451
AMARILLO,DELANTERO,4,44,1,4011,1987,1381,405
AMARILLO,DELANTERO,4,45,1,4341,2133,1478,457
AMARILLO,DELANTERO,4,46,1,4516,2230,1572,483
AMARILLO,DELANTERO,4,47,1,4452,2203,1542,460
AMARILLO,DELANTERO,4,48,1,4778,2349,1649,489
AMARILLO,DELANTERO,4,49,1,4850,2392,1682,499
AMARILLO,DELANTERO,4,50,1,4437,2193,1532,469
AMARILLO,DELANTERO,4,51,1,4630,2288,1594,487
AMARILLO,DELANTERO,4,52,1,4245,2103,1465,431
AMARILLO,DELANTERO,4,53,1,4400,2166,1524,445
AMARILLO,DELANTERO,4,54,1,4518,2220,1564,459
AMARILLO,DELANTERO,4,55,1,4809,2354,1672,488
AMARILLO,DELANTERO,4,56,1,5040,2464,1756,516
AMARILLO,DELANTERO,4,57,1,5231,2550,1828,533
AMARILLO,DELANTERO,4,58,1,5214,2542,1822,531
AMARILLO,DELANTERO,4,59,1,5151,2513,1799,525
AMARILLO,DELANTERO,4,60,1,5159,2517,1802,526
AMARILLO,DELANTERO,5,1,1,4507,2231,1549,466
AMARILLO,DELANTERO,5,2,1,4862,2390,1680,503
AMARILLO,DELANTERO,5,3,1,4551,2247,1565,476
AMARILLO,DELANTERO,5,4,1,4031,1999,1388,410
AMARILLO,DELANTERO,5,5,1,4069,2035,1402,423
AMARILLO,DELANTERO,5,6,1,3881,1933,1319,395
AMARILLO,DELANTERO,5,7,1,3942,1969,1344,408
AMARILLO,DELANTERO,5,8,1,4647,2290,1607,470
AMARILLO,DELANTERO,5,9,1,4462,2204,1542,449
AMARILLO,DELANTERO,5,10,1,4512,2229,1558,455
AMARILLO,DELANTERO,5,11,1,4619,2279,1598,466
AMARILLO,DELANTERO,5,12,1,4404,2181,1519,446
AMARILLO,DELANTERO,5,13,1,3801,1898,1294,392
AMARILLO,DELANTERO,5,14,1,4249,2106,1463,429
AMARILLO,DELANTERO,5,15,1,5089,2501,1765,520
AMARILLO,DELANTERO,5,16,1,5366,2625,1868,547
AMARILLO,DELANTERO,5,17,1,5334,2605,1861,540
AMARILLO,DELANTERO,5,18,1,5420,2643,1891,551
AMARILLO,DELANTERO,5,19,1,5428,2648,1894,553
AMARILLO,DELANTERO,5,20,1,5009,2459,1737,512
AMARILLO,DELANTERO,5,21,1,3423,1714,1164,355
AMARILLO,DELANTERO,5,22,1,1898,961,633,204
AMARILLO,DELANTERO,5,23,1,990,508,328,107
AMARILLO,DELANTERO,5,24,1,344,172,115,43
AMARILLO,DELANTERO,5,25,1,136,65,47,21
AMARILLO,DELANTERO,5,26,1,125,63,42,19
AMARILLO,DELANTERO,5,27,1,110,53,38,18
AMARILLO,DELANTERO,5,28,1,242,125,80,30
AMARILLO,DELANTERO,5,29,1,271,141,89,33
AMARILLO,DELANTERO,5,30,1,414,215,137,48
AMARILLO,DELANTERO,5,31,1,322,167,106,38
AMARILLO,DELANTERO,5,32,1,1323,677,441,140
AMARILLO,DELANTERO,5,33,1,790,404,261,89
AMARILLO,DELANTERO,5,34,1,1045,538,349,114
AMARILLO,DELANTERO,5,35,1,1967,1004,664,204
